;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
32991;609174;2024-06-22;sábado;01:17:00;SP;116.0;139.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32996;609180;2024-06-22;sábado;02:20:00;SP;116.0;503.0;CAJATI;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Simples;"Curva;Declive";Urbano;0;0;1;0
32997;609181;2024-06-22;sábado;06:40:00;SP;153.0;42.8;ONDA VERDE;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Amanhecer;Crescente;Nevoeiro/Neblina;Simples;Reta;Rural;0;0;3;0
32998;609182;2024-06-22;sábado;07:00:00;SP;116.0;84.6;PINDAMONHANGABA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
33007;609195;2024-06-22;sábado;08:30:00;SP;116.0;135.0;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;3;0
33050;609241;2024-06-22;sábado;11:30:00;SP;153.0;111.2;JOSE BONIFACIO;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Nublado;Simples;Retorno Regulamentado;Rural;0;0;1;0
33055;609246;2024-06-22;sábado;12:40:00;SP;116.0;146.0;SAO JOSE DOS CAMPOS;Ingestão de álcool pelo condutor;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;0
33078;609271;2024-06-22;sábado;15:30:00;SP;116.0;161.0;JACAREI;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Simples;Curva;Urbano;1;0;1;0
33092;609287;2024-06-22;sábado;16:30:00;SP;101.0;49.0;UBATUBA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Reta;Urbano;0;0;2;0
33120;609317;2024-06-22;sábado;18:30:00;SP;116.0;111.3;TAUBATE;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Interseção de Vias";Urbano;1;0;2;0
33161;609362;2024-06-23;domingo;03:25:00;SP;116.0;56.3;LORENA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;4;0;3;0
33164;609365;2024-06-22;sábado;22:45:00;SP;116.0;523.0;BARRA DO TURVO;Condutor Dormindo;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Ensolarado;Dupla;"Curva;Declive";Rural;0;0;1;0
33173;609374;2024-06-23;domingo;04:50:00;SP;116.0;229.0;SAO PAULO;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Sem Vítimas;Amanhecer;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
33174;609375;2024-06-23;domingo;05:05:00;SP;116.0;214.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Capotamento;Com Vítimas Feridas;Amanhecer;Decrescente;Ensolarado;Múltipla;Reta;Urbano;3;0;1;0
33219;609422;2024-06-23;domingo;07:10:00;SP;116.0;208.0;GUARULHOS;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Urbano;1;0;1;0
